turbine_id,operating_hours,wind_speed_ms,ambient_temp_c,wind_direction_deg,gearbox_oil_temp_c,gearbox_bearing_temp_c,generator_winding_temp_c,generator_rpm,rotor_rpm,blade_pitch_angle_deg,hydraulic_pressure_bar,active_power_kw,RUL,RUL_clipped,health_state,gearbox_oil_temp_c_roll_mean,gearbox_oil_temp_c_roll_std,gearbox_oil_temp_c_zscore,gearbox_bearing_temp_c_roll_mean,gearbox_bearing_temp_c_roll_std,gearbox_bearing_temp_c_zscore,generator_winding_temp_c_roll_mean,generator_winding_temp_c_roll_std,generator_winding_temp_c_zscore,generator_rpm_roll_mean,generator_rpm_roll_std,generator_rpm_zscore,rotor_rpm_roll_mean,rotor_rpm_roll_std,rotor_rpm_zscore,blade_pitch_angle_deg_roll_mean,blade_pitch_angle_deg_roll_std,blade_pitch_angle_deg_zscore,hydraulic_pressure_bar_roll_mean,hydraulic_pressure_bar_roll_std,hydraulic_pressure_bar_zscore,active_power_kw_roll_mean,active_power_kw_roll_std,active_power_kw_zscore,kb_predicted_state,kb_state_name,fault_count,fault_details,failure_risk_score,prob_healthy,prob_warning,prob_critical
WTG_01,1,6.01,26.57,178.68,69.75,58.84,80.42,739.97,8.22,0.0,188.15,463.23,351,125,0,69.75,0.0001,0.0,58.84,0.0001,0.0,80.42,0.0001,0.0,739.97,0.0001,0.0,8.22,0.0001,0.0,0.0,0.0001,0.0,188.15,0.0001,0.0,463.23,0.0001,0.0,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
WTG_01,2,9.29,23.85,203.28,80.38,60.49,100.67,1127.26,12.53,0.0,190.03,1775.78,350,125,0,75.065,7.516545084012996,0.7071067811865476,59.665000000000006,1.1667261889578,0.7071067811865459,90.545,14.318912319027588,0.7071067811865475,933.615,273.85538528573795,0.7071067811865476,10.375,3.047630226914019,0.7071067811865475,0.0,0.0,,189.09,1.3293607486307062,0.7071067811865475,1119.505,928.1130056464028,0.7071067811865475,1,WARNING,1,WARN_GEARBOX_OIL_OVERHEAT,0.5394,0.1011,0.599,0.2998
WTG_01,3,8.94,19.42,186.56,78.88,60.72,94.47,1141.28,12.68,0.0,187.59,1566.94,349,125,0,76.33666666666666,5.753314986452012,0.44206398212550746,60.01666666666667,1.0254917519577242,0.6858498198455728,91.85333333333334,10.375491956207826,0.2521968768045804,1002.8366666666667,227.75711500046123,0.6078551413555309,11.143333333333333,2.532791608745838,0.6067086851363891,0.0,0.0,,188.59,1.278123624693635,-0.7823969299055082,1268.6499999999999,705.2868697912927,0.422934287842718,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
WTG_01,4,8.92,15.0,168.72,78.75,60.91,88.5,1140.62,12.67,0.0,187.18,1583.56,348,125,0,76.94,4.850065291656734,0.37319085231978893,60.24,0.9489994731294582,0.7060067144089934,91.015,8.635880576602094,-0.29122681557386265,1037.2825,198.31354977661002,0.5210813891254744,11.525,2.2043971209078155,0.5194163924186516,0.0,0.0,,188.2375,1.2594013127937673,-0.8396846892704287,1347.3775,597.0023362531059,0.3956140297244459,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
WTG_01,5,7.88,24.1,185.34,73.9,60.14,89.02,968.19,10.76,0.0,188.92,1045.08,347,125,0,76.332,4.4148238922974015,-0.5508713505521996,60.220000000000006,0.8230735082603448,-0.09719666493591088,90.616,7.531920737766695,-0.2118981406691272,1023.4639999999999,174.5020135413915,-0.31675279200654616,11.372,1.9394767335546974,-0.3155490289787178,0.0,0.0,,188.374,1.1325767082189153,0.4820865518757041,1286.9180000000001,534.4020937646109,-0.4525393946276772,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
WTG_01,6,4.41,20.26,180.98,69.83,59.29,69.07,563.99,6.27,0.0,188.43,198.39,346,125,0,75.24833333333333,4.7579971276438,-1.1387844901908422,60.065,0.8283175719493057,-0.9356314851273368,87.02499999999999,11.079510368242817,-1.6205589780812324,946.8849999999999,244.02217446371546,-1.569099205191018,10.521666666666667,2.710656132132341,-1.5685009309248268,0.0,0.0,,188.38333333333333,1.0132653485966359,0.04605572146655761,1105.4966666666667,652.6489710301141,-1.389884466124151,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
WTG_01,7,6.62,13.81,152.56,70.82,59.77,72.24,809.19,8.99,0.0,188.11,647.06,345,125,0,74.61571428571428,4.654771233701527,-0.8154459360392429,60.02285714285715,0.7643235415650038,-0.3308247477755341,84.91285714285713,11.555272554532149,-1.0967164195436185,927.2142857142857,228.75950332588314,-0.5159317274183454,10.302857142857144,2.541297006685852,-0.5166090934680881,0.0,0.0,,188.34428571428572,0.9307319188476882,-0.25172201526704535,1040.0057142857142,620.4694620972398,-0.6333038743881515,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
WTG_01,8,10.49,14.41,179.12,83.13,62.62,97.37,1348.51,14.98,0.0,185.27,2000.0,344,125,0,75.67999999999999,5.25673445618638,1.4172296626534904,60.3475,1.1592577674652718,1.960306036998867,86.47,11.569225187045655,0.9421547099113433,979.87625,258.92339771432125,1.423717413158334,10.8875,2.8757694622483214,1.4230973844476464,0.0,0.0,,187.96,1.3870523730970932,-1.939364404815952,1160.005,667.2207302791826,1.2589461955843668,1,WARNING,1,WARN_GEARBOX_OIL_OVERHEAT,0.5394,0.1011,0.599,0.2998
WTG_01,9,9.82,17.68,187.92,81.7,60.95,99.21,1250.21,13.89,0.0,188.02,2000.0,343,125,0,76.3488888888889,5.310914338521295,1.0075687104004405,60.41444444444445,1.1028271749362064,0.4856205647875276,87.88555555555556,11.62541516582431,0.9741109700525237,1009.9133333333333,258.42058262646185,0.9298665927628814,11.22111111111111,2.8701848566096078,0.9298665494464015,0.0,0.0,,187.96666666666667,1.2976228265563123,0.04110079773710515,1253.3377777777778,684.0574769121704,1.0915197149699307,1,WARNING,1,WARN_GEARBOX_OIL_OVERHEAT,0.5394,0.1011,0.599,0.2998
WTG_01,10,8.72,28.53,165.62,78.78,62.04,102.59,1084.2,12.05,0.0,189.03,1463.3,342,125,0,76.592,5.065852566175035,0.4319115038225537,60.577,1.1598855307505311,1.2613313652195768,89.356,11.906118128461895,1.1115293714719474,1017.342,244.7711489353088,0.2731449367738603,11.304,2.7187014874343562,0.27439570083290094,0.0,0.0,,188.073,1.268779378422862,0.7542682488972817,1274.334,648.3442822588765,0.2914593452442107,0,HEALTHY,0,NONE,0.293,0.2983,0.6811,0.0206
